date,final,diff,trading volume
2020.01.02,5680 ,60 ,154428 
2020.01.03,5880 ,200 ,736097 
2020.01.06,5630 ,-250 ,458363 
2020.01.07,5650 ,20 ,221859 
2020.01.08,5180 ,-470 ,587599 
2020.01.09,5520 ,340 ,805352 
2020.01.10,5650 ,130 ,238778 
2020.01.13,5780 ,130 ,341055 
2020.01.14,5730 ,-50 ,272738 
2020.01.15,5740 ,10 ,217544 
2020.01.16,5950 ,210 ,674582 
2020.01.17,6910 ,960 ,12779347 
2020.01.20,7010 ,100 ,11283760 
2020.01.21,6490 ,-520 ,2444200 
2020.01.22,6490 ,0 ,938842 
2020.01.23,6680 ,190 ,2575852 
2020.01.28,7700 ,1020 ,10362674 
2020.01.29,6910 ,-790 ,1716740 
2020.01.30,6290 ,-620 ,1125625 
2020.01.31,5810 ,-480 ,906121 
2020.02.03,5940 ,130 ,1904571 
2020.02.04,5920 ,-20 ,606137 
2020.02.05,5930 ,10 ,402093 
2020.02.06,5990 ,60 ,384252 
2020.02.07,5900 ,-90 ,504485 
2020.02.10,5870 ,-30 ,675953 
2020.02.11,5880 ,10 ,278732 
2020.02.12,5670 ,-210 ,369838 
2020.02.13,5700 ,30 ,271081 
2020.02.14,5930 ,230 ,743658 
2020.02.17,5860 ,-70 ,207241 
2020.02.18,5940 ,80 ,553452 
2020.02.19,6090 ,150 ,612722 
2020.02.20,6040 ,-50 ,1576265 
2020.02.21,5890 ,-150 ,392334 
2020.02.24,5390 ,-500 ,414914 
2020.02.25,5560 ,170 ,208698 
2020.02.26,5640 ,80 ,146359 
2020.02.27,5440 ,-200 ,233416 
2020.02.28,5340 ,-100 ,1133147 
2020.03.02,5400 ,60 ,237716 
2020.03.03,5480 ,80 ,244125 
2020.03.04,5650 ,170 ,165139 
2020.03.05,5710 ,60 ,291610 
2020.03.06,5800 ,90 ,310991 
2020.03.09,5330 ,-470 ,248375 
2020.03.10,5320 ,-10 ,290943 
2020.03.11,5060 ,-260 ,264377 
2020.03.12,4675 ,-385 ,294917 
2020.03.13,4030 ,-645 ,578253 
2020.03.16,3910 ,-120 ,686551 
2020.03.17,4505 ,595 ,3194240 
2020.03.18,4150 ,-355 ,814934 
2020.03.19,3365 ,-785 ,468749 
2020.03.20,3535 ,170 ,378107 
2020.03.23,3430 ,-105 ,993068 
2020.03.24,3620 ,190 ,316975 
2020.03.25,4060 ,440 ,826733 
2020.03.26,4115 ,55 ,773016 
2020.03.27,4345 ,230 ,1177258 
2020.03.30,4490 ,145 ,477627 
2020.03.31,4735 ,245 ,554374 
2020.04.01,4910 ,175 ,1420811 
2020.04.02,4860 ,-50 ,362985 
2020.04.03,4875 ,15 ,240604 
2020.04.06,6330 ,1455 ,3090511 
2020.04.07,5990 ,-340 ,7431304 
2020.04.08,5710 ,-280 ,2556311 
2020.04.09,5860 ,150 ,1003632 
2020.04.10,5630 ,-230 ,1223650 
2020.04.13,5310 ,-320 ,448755 
2020.04.14,5460 ,150 ,455539 
2020.04.16,5490 ,30 ,300365 
2020.04.17,5540 ,50 ,233417 
2020.04.20,5790 ,250 ,504847 
2020.04.21,5520 ,-270 ,597890 
2020.04.22,5560 ,40 ,464543 
2020.04.23,5690 ,130 ,251983 
2020.04.24,5500 ,-190 ,402995 
2020.04.27,5600 ,100 ,201053 
2020.04.28,5480 ,-120 ,187426 
2020.04.29,5400 ,-80 ,196243 
2020.05.04,5400 ,0 ,110506 
2020.05.06,5680 ,280 ,257757 
2020.05.07,5680 ,0 ,225886 
2020.05.08,5690 ,10 ,261332 
2020.05.11,5960 ,270 ,525343 
2020.05.12,5830 ,-130 ,414484 
2020.05.13,5870 ,40 ,580442 
2020.05.14,6090 ,220 ,839909 
2020.05.15,5850 ,-240 ,344908 
2020.05.18,5840 ,-10 ,272016 
2020.05.19,5680 ,-160 ,297441 
2020.05.20,5720 ,40 ,154358 
2020.05.21,5790 ,70 ,109389 
2020.05.22,5730 ,-60 ,187032 
2020.05.25,5920 ,190 ,364867 
2020.05.26,5870 ,-50 ,203961 
2020.05.27,5740 ,-130 ,159440 
2020.05.28,5610 ,-130 ,263719 
2020.05.29,5630 ,20 ,140859 
2020.06.01,5730 ,100 ,93048 
2020.06.02,5850 ,120 ,186838 
2020.06.03,5670 ,-180 ,222175 
2020.06.04,5720 ,50 ,78242 
2020.06.05,5850 ,130 ,200475 
2020.06.08,5900 ,50 ,259900 
2020.06.09,5820 ,-80 ,248995 
2020.06.10,5890 ,70 ,4028807 
2020.06.11,6050 ,160 ,886882 
2020.06.12,5860 ,-190 ,546437 
2020.06.15,5350 ,-510 ,1238518 
2020.06.16,5670 ,320 ,324602 
2020.06.17,5860 ,190 ,571707 
2020.06.18,5990 ,130 ,863760 
2020.06.19,5870 ,-120 ,357190 
2020.06.22,6140 ,270 ,1524728 
2020.06.23,5850 ,-290 ,597794 
2020.06.24,5820 ,-30 ,341685 
2020.06.25,5800 ,-20 ,325320 
2020.06.26,5730 ,-70 ,254171 
2020.06.29,5520 ,-210 ,211759 
2020.06.30,5870 ,350 ,1238234 
2020.07.01,5870 ,0 ,5178343 
2020.07.02,6130 ,260 ,1174031 
2020.07.03,5960 ,-170 ,544893 
2020.07.06,6040 ,80 ,478728 
2020.07.07,6070 ,30 ,947335 
2020.07.08,6140 ,70 ,486308 
2020.07.09,6050 ,-90 ,312448 
2020.07.10,6160 ,110 ,605724 
2020.07.13,6040 ,-120 ,364545 
2020.07.14,6100 ,60 ,400493 
2020.07.15,6020 ,-80 ,288536 
2020.07.16,5900 ,-120 ,249712 
2020.07.17,5860 ,-40 ,161352 
2020.07.20,5900 ,40 ,119891 
2020.07.21,6120 ,220 ,821094 
2020.07.22,6180 ,60 ,930871 
2020.07.23,6300 ,120 ,2020962 
2020.07.24,6590 ,290 ,4466778 
2020.07.27,6270 ,-320 ,1337289 
2020.07.28,6350 ,80 ,384789 
2020.07.29,6300 ,-50 ,265367 
2020.07.30,6410 ,110 ,279493 
2020.07.31,6310 ,-100 ,208718 
2020.08.03,6690 ,380 ,549191 
2020.08.04,6700 ,10 ,448201 
2020.08.05,6900 ,200 ,790789 
2020.08.06,6500 ,-400 ,1830476 
2020.08.07,6400 ,-100 ,394544 
2020.08.10,6420 ,20 ,253641 
2020.08.11,6320 ,-100 ,268263 
2020.08.12,6150 ,-170 ,434205 
2020.08.13,6140 ,-10 ,116880 
2020.08.14,6030 ,-110 ,249667 
2020.08.18,5840 ,-190 ,251936 
2020.08.19,5920 ,80 ,139164 
2020.08.20,6020 ,100 ,233086 
2020.08.21,6000 ,-20 ,84800 
